date,equipment_id,site,status
2024-01-01,EXC-01,Site A,operational
2024-01-02,EXC-02,Site A,operational
2024-01-03,EXC-01,Site C,operational
2024-01-04,TRK-02,Site A,operational
2024-01-05,EXC-01,Site A,operational
2024-01-06,EXC-02,Site C,operational
2024-01-07,TRK-02,Site A,operational
2024-01-08,TRK-02,Site B,operational
2024-01-09,TRK-02,Site B,down
2024-01-10,EXC-01,Site A,operational
2024-01-11,DRL-01,Site B,operational
2024-01-12,DRL-01,Site A,operational
2024-01-13,EXC-01,Site B,down
2024-01-14,TRK-02,Site B,down
2024-01-15,TRK-01,Site C,operational
2024-01-16,TRK-01,Site A,operational
2024-01-17,TRK-02,Site B,operational
2024-01-18,EXC-01,Site A,operational
2024-01-19,DRL-01,Site A,down
2024-01-20,EXC-01,Site B,operational
2024-01-21,DRL-01,Site A,operational
2024-01-22,EXC-02,Site C,operational
2024-01-23,EXC-01,Site C,operational
2024-01-24,TRK-02,Site C,operational
2024-01-25,TRK-01,Site B,operational
2024-01-26,TRK-02,Site A,operational
2024-01-27,EXC-01,Site A,down
2024-01-28,DRL-01,Site B,operational
2024-01-29,EXC-02,Site C,down
2024-01-30,DRL-01,Site A,operational
2024-01-31,TRK-01,Site C,operational
2024-02-01,DRL-01,Site A,operational
2024-02-02,TRK-02,Site C,operational
2024-02-03,TRK-02,Site B,down
2024-02-04,TRK-01,Site B,operational
2024-02-05,EXC-02,Site C,operational
2024-02-06,EXC-01,Site A,operational
2024-02-07,EXC-02,Site C,operational
2024-02-08,EXC-01,Site B,operational
2024-02-09,TRK-01,Site C,operational
2024-02-10,TRK-02,Site A,operational
2024-02-11,EXC-01,Site C,down
2024-02-12,DRL-01,Site C,operational
2024-02-13,DRL-01,Site B,operational
2024-02-14,EXC-01,Site C,down
2024-02-15,DRL-01,Site C,operational
2024-02-16,TRK-02,Site A,down
2024-02-17,DRL-01,Site C,operational
2024-02-18,EXC-02,Site A,operational
2024-02-19,EXC-02,Site C,down
2024-02-20,TRK-02,Site A,operational
2024-02-21,TRK-01,Site A,operational
2024-02-22,DRL-01,Site B,operational
2024-02-23,EXC-02,Site C,down
2024-02-24,EXC-01,Site C,operational
2024-02-25,EXC-01,Site C,operational
2024-02-26,EXC-02,Site C,operational
2024-02-27,TRK-02,Site A,operational
2024-02-28,TRK-02,Site B,down
2024-02-29,TRK-02,Site C,operational
2024-03-01,DRL-01,Site B,down
2024-03-02,DRL-01,Site B,down
2024-03-03,TRK-01,Site A,operational
2024-03-04,EXC-01,Site B,operational
2024-03-05,TRK-02,Site A,operational
2024-03-06,EXC-01,Site A,operational
2024-03-07,EXC-01,Site A,operational
2024-03-08,EXC-01,Site B,operational
2024-03-09,EXC-02,Site B,operational
2024-03-10,EXC-02,Site C,operational
2024-03-11,TRK-02,Site C,operational
2024-03-12,TRK-01,Site B,operational
2024-03-13,EXC-01,Site C,operational
2024-03-14,TRK-01,Site B,operational
2024-03-15,EXC-01,Site C,operational
2024-03-16,EXC-01,Site A,operational
2024-03-17,DRL-01,Site A,operational
2024-03-18,EXC-02,Site C,operational
2024-03-19,TRK-01,Site A,operational
2024-03-20,EXC-02,Site A,operational
2024-03-21,TRK-02,Site A,operational
2024-03-22,TRK-02,Site A,down
2024-03-23,EXC-02,Site A,operational
2024-03-24,TRK-01,Site A,down
2024-03-25,EXC-01,Site A,operational
2024-03-26,TRK-01,Site B,down
2024-03-27,TRK-01,Site B,operational
2024-03-28,TRK-02,Site C,operational
2024-03-29,EXC-02,Site A,operational
2024-03-30,EXC-01,Site C,operational
2024-03-31,EXC-01,Site C,operational
2024-04-01,EXC-01,Site C,operational
2024-04-02,TRK-02,Site A,operational
2024-04-03,TRK-02,Site A,down
2024-04-04,EXC-01,Site C,operational
2024-04-05,EXC-02,Site B,operational
2024-04-06,TRK-02,Site A,operational
2024-04-07,EXC-01,Site C,operational
2024-04-08,TRK-02,Site C,operational
2024-04-09,DRL-01,Site A,operational
2024-04-10,DRL-01,Site A,operational
2024-04-11,EXC-02,Site C,operational
2024-04-12,TRK-01,Site B,down
2024-04-13,EXC-01,Site A,operational
2024-04-14,TRK-02,Site A,operational
2024-04-15,EXC-02,Site C,operational
2024-04-16,DRL-01,Site A,down
2024-04-17,DRL-01,Site B,operational
2024-04-18,TRK-02,Site C,operational
2024-04-19,TRK-02,Site A,operational
2024-04-20,TRK-02,Site B,down
2024-04-21,EXC-01,Site A,operational
2024-04-22,EXC-01,Site C,operational
2024-04-23,DRL-01,Site B,operational
2024-04-24,DRL-01,Site A,operational
2024-04-25,DRL-01,Site C,operational
2024-04-26,EXC-01,Site A,operational
2024-04-27,DRL-01,Site A,operational
2024-04-28,EXC-02,Site C,down
2024-04-29,EXC-02,Site C,operational
